Timestamp,1,2,3
0.0,3896,4181,4114
1.0,3311,3840,3819
2.0,3220,3636,3616
3.0,2608,2843,2866
4.0,2797,3257,3298
5.0,2613,2912,3029
6.0,2022,2279,2201
7.0,2145,2465,2523
8.0,1122,1443,1743
9.0,1901,1997,1922
10.0,1512,1712,1851
11.0,1023,1266,1429
12.0,1143,1431,1720
13.0,821,1085,1324
14.0,1087,1281,1380
15.0,1115,1374,1358
16.0,1430,1508,1310
17.0,937,972,933
18.0,781,917,930
19.0,801,955,801
20.0,714,847,875
21.0,935,1051,1074
22.0,739,812,873
23.0,422,471,510
24.0,713,837,813
25.0,491,558,675
26.0,430,492,589
27.0,464,569,566
28.0,713,794,847
29.0,593,663,683
30.0,655,759,814
31.0,590,635,594
32.0,862,959,960
33.0,1032,1173,1097
34.0,719,953,1069
35.0,796,1087,1067
36.0,773,865,870
37.0,1011,1202,1243
38.0,969,1168,1346
39.0,1154,1274,1242
40.0,1729,1551,1592
41.0,1438,1622,1421
42.0,1831,2155,2075
43.0,2261,2195,1907
44.0,1350,1697,1825
45.0,2651,2647,2448
46.0,2711,2865,2814
47.0,2774,2964,3044
48.0,4253,4327,3610
49.0,3940,4269,4246
50.0,3991,4495,4138
51.0,5133,5203,5005
52.0,6097,6332,5825
53.0,6141,6593,6037
54.0,6573,6536,6373
55.0,6790,7148,6774
56.0,7526,7787,7219
57.0,7507,7904,7070
58.0,8077,8309,7922
59.0,7895,8177,7912
60.0,8176,8614,8260
61.0,8390,8659,8141
62.0,8274,8648,8448
63.0,8458,8788,8524
64.0,8160,8441,7984
65.0,8743,9072,8737
66.0,8703,8864,8600
67.0,8774,9200,9021
68.0,8610,8843,8583
69.0,8574,8953,8677
70.0,8669,9056,8976
71.0,8703,8970,8534
72.0,8713,9072,8662
73.0,8666,9027,8572
74.0,8510,9027,8972
75.0,8444,8932,8676
76.0,8383,8662,8266
77.0,8362,8796,8522
78.0,8171,8540,8349
79.0,7806,8245,7941
80.0,7629,8080,7966
81.0,7516,7776,7470
82.0,7732,8159,7672
83.0,7448,8015,7468
84.0,7234,7673,7348
85.0,7408,8110,7569
86.0,7427,8013,7643
87.0,7563,7991,7609
88.0,7939,8090,8090
89.0,7608,8138,7808
90.0,7995,8368,7784
91.0,7783,8054,7757
92.0,7725,8344,8001
93.0,7884,8388,8145
94.0,7736,8144,7783
95.0,8084,8324,8061
96.0,8018,8360,7814
97.0,7971,8309,8010
98.0,7917,8442,8270
99.0,8242,8633,8238
100.0,8328,8768,8316
101.0,8610,8939,8887
102.0,8754,9070,8687
103.0,8524,8887,8657
104.0,8509,9045,8759
105.0,8781,9225,9078
106.0,8641,9054,8733
107.0,8781,9122,8897
108.0,7937,8585,8491
109.0,8661,9020,8621
110.0,8637,8911,8690
111.0,8535,8796,8489
112.0,8556,8964,8761
113.0,8604,8992,8924
114.0,8566,9032,8570
115.0,8044,8440,8096
116.0,8256,8983,8859
117.0,8430,8839,8366
118.0,7969,8357,8031
119.0,7637,8199,8081
120.0,7934,8398,8119
121.0,7863,8303,7989
122.0,7978,8377,8143
123.0,7791,8204,7954
124.0,7638,7953,7765
125.0,7410,7550,7487
126.0,7135,7609,7373
127.0,6890,7322,7276
128.0,7144,7476,7233
129.0,6829,7190,6854
130.0,6015,6478,6328
131.0,6572,6805,6589
132.0,5466,6029,6062
133.0,5336,5872,5807
134.0,5192,5587,5428
135.0,4532,5241,5378
136.0,4614,5402,5236
137.0,3982,4658,4840
138.0,3873,4721,4828
139.0,3733,4374,4569
140.0,4040,4275,4413
141.0,3141,3606,3830
142.0,2914,3355,3592
143.0,2338,2831,2972
